ship_to_code,child_sku_code,gsv
15112794,20278018,0.020
15112794,20279003,0.928
15112794,20279004,0.821
15112794,20279005,0.325
15112794,20281179,0.021
15112794,20284002,0.000
15112794,20284539,0.125
15112794,20284627,0.000
15112794,20284832,2.095
15112794,20284833,1.216
15112794,20286759,0.000
15112794,20287623,0.000
15112794,20287624,0.009
15112794,20287632,0.328
15112794,20288009,0.014
15112794,20288232,0.181
15112794,20291629,0.017
15112794,20291630,0.150
15112794,20291633,0.014
15112794,20291634,0.028
15112794,20291635,0.000
15112794,20291636,0.167
15112794,20292808,0.265
15112794,20292809,0.091
15112794,20292810,0.096
15112794,20292811,0.225
15112794,20292812,0.322
15112794,20292813,0.008
15112794,20292814,0.190
15112794,20292815,0.236
15112794,20292816,0.088
15112794,20292817,0.182
15112794,20292818,0.197
15112794,20292819,0.058
15112794,20293277,0.337
15112794,20293278,0.608
15112794,20293279,0.008
15112794,20293280,0.335
15112794,20293282,0.257
15112794,20293283,0.611
15112794,20293284,0.000
15112794,20293285,0.158
15112794,20293286,0.404
15112794,20293287,0.379
15112794,20293288,0.034
15112794,20293289,0.093
15112794,20293290,0.079
15112794,20293291,0.184
15112794,20294787,0.219
15112794,20294812,0.433
15112794,20294813,0.421
15112794,20294814,0.000
15112794,20294816,0.216
15112794,20295584,0.002
15112794,20296955,1.536
15112794,20297023,0.083
15112794,20302082,0.000
15112794,20303828,0.107
15112794,20303914,0.470
15112794,20303915,0.009
15112794,20304206,0.167
15112794,20304735,0.729
15112794,20304736,12.942
15112794,20304737,0.627
15112794,20304738,0.592
15112794,20304739,10.156
15112794,21000615,0.000
15112794,21000616,0.167
15112794,21000763,41.556
15112794,21000764,2.223
15112794,21000765,1.874
15112794,21000766,1.511
15112794,21000767,28.600
15112794,21000768,1.309
15112794,21000769,0.979
15112794,21000770,0.857
15112794,21000771,14.169
15112794,21000772,0.601
15112794,21000773,0.361
15112794,21000774,0.581
15112794,21000775,10.414
15112794,21000776,0.000
15112794,21000777,0.578
15112794,21000778,6.455
15112794,21000779,0.021
15112794,21000780,0.602
15112794,21000781,1.852
15112794,21000782,0.014
15112794,21001434,9.786
15112794,21001513,0.019
15112794,21001514,0.022
15112794,21001515,0.000
15112794,21001914,4.632
15112794,21001985,3.838
15112794,21002316,0.760
15112794,21002317,0.000
15112794,21002318,0.273
15112794,21002319,0.260
15112794,21002321,0.169
15112794,21002322,0.000
15112794,21002324,0.167
15112794,21002325,0.003
15112794,21002327,0.132
15112794,21002844,0.379
15112794,21002845,0.041
15112794,21002846,0.050
15112794,21002847,0.024
15112794,21005250,0.116
15112794,21005432,0.000
15112794,21005433,0.000
15112794,21005434,0.000
15112794,21005657,0.018
15112794,21005659,0.042
15112794,21008977,30.992
15112794,21008978,1.825
15112794,21008979,1.490
15112794,21008980,0.000
15112794,21008981,0.276
15112794,21008983,0.023
15112794,21008984,0.024
15112794,21008985,0.282
15112794,21008986,0.493
15112794,21008988,0.167
15112794,21009047,0.550
15112794,21009048,0.339
15112794,21009052,0.007
15112794,21009137,0.476
15112794,21009138,0.223
15112794,21009139,0.147
15112794,21009480,0.000
15112794,21010274,0.088
15112794,21010304,0.190
15112794,21010306,0.083
15112794,21010308,0.314
15112794,21012581,0.073
15112794,21013229,0.104
15112794,21013230,0.124
15112794,21013232,0.050
15112794,21013233,0.033
15112794,21013982,0.012
15112794,21013983,0.019
15112794,21013984,0.184
15112794,21013985,0.169
